"id","name","file_path","n_samples","n_features","author_id"
1,a9a,/data/a9a,32561,123,1
2,w8a,/data/w8a,49749,300,1
3,CIFAR-10,/data/cifar,60000,3072,2
4,MNIST,/data/mnist,70000,784,3
5,ImageNet,/data/imagenet,1281167,150528,4
6,KDD99,/data/kdd,4898431,41,5
7,HIGGS,/data/higgs,11000000,28,1
8,SUSY,/data/susy,5000000,18,1
9,covtype,/data/cov,581012,54,6
10,phishing,/data/phis,11055,68,7
11,mushrooms,/data/mush,8124,112,8
12,ijcnn1,/data/ij,49990,22,9
13,news20,/data/news,19996,1355191,10
14,rcv1,/data/rcv,20242,47236,11
15,real-sim,/data/real,72309,20958,12
16,epsilon,/data/eps,400000,2000,13
17,URL,/data/url,2396130,3231961,14
18,SVHN,/data/svhn,73257,3072,15
19,F-MNIST,/data/fmnist,70000,784,16
20,IMDB,/data/imdb,50000,10000,17
