"id","name","hardware_type","precision","author_id"
1,Mac,CPU,float64,1
2,Node1,CPU,float64,1
3,T4,GPU,float32,2
4,Colab,GPU,float32,3
5,V100,GPU,float32,4
6,A100,GPU,float32,5
7,AWS_V100,GPU,float32,6
8,AWS_A100,GPU,float16,7
9,GCP,CPU,float64,8
10,Yandex,CPU,float64,9
11,DataSphere,GPU,float32,10
12,DGX,GPU,float64,11
13,RTX3090,GPU,float32,12
14,RTX4090,GPU,float32,13
15,TPUv2,TPU,bfloat16,14
16,TPUv3,TPU,bfloat16,15
17,MI250,GPU,float32,16
18,Xeon,CPU,float64,17
19,Pi4,CPU,float32,18
20,MIPT,GPU,float64,1
