"id","max_iterations","tolerance_epsilon","init_seed","init_strategy","hyperparameters","author_id"
1,10000,0.000001,42,zeros,"{""lr"": 0.01}",1
2,50000,0.00000001,42,random,"{""lr"": 0.001}",1
3,10000,0.00001,123,random,"{""lr"": 0.05}",2
4,100000,0.0000001,777,zeros,"{""lr_strategy"": ""armijo""}",3
5,2000,0.0001,,ones,"{""lr"": 0.1}",4
6,15000,0.000001,42,zeros,"{""lr"": 0.005}",5
7,500,0.00000001,0,random,"{""history_size"": 10}",6
8,100000,0.000000001,42,zeros,"{""lr"": 0.01}",7
9,30000,0.000001,99,zeros,"{""lr"": 0.2}",8
10,10000,0.00001,42,random,"{""lr"": 0.001}",9
11,1000,0.0001,1,zeros,"{""lr"": 1.0}",10
12,50000,0.00000001,42,random,"{""lr"": 0.01}",11
13,20000,0.0000001,42,zeros,"{""lr"": 0.05}",12
14,10000,0.00001,2026,random,"{""lr"": 0.0001}",13
15,5000,0.000001,42,zeros,"{""lr"": 0.1}",14
16,100000,0.00000001,1234,zeros,"{""lr"": 0.02}",15
17,50000,0.000001,42,random,"{""lr"": 0.001}",16
18,25000,0.0000001,0,zeros,"{""lr"": 0.01}",17
19,10000,0.00001,42,random,"{""lr"": 0.1}",18
20,5000,0.000001,42,zeros,"{""lr"": 0.05}",19
