"id","status","project_id","user_id","algorithm_id","function_id","oracle_id","config_id","environment_id","start_time","end_time","total_time_seconds","total_oracle_calls"
1,completed,1,1,1,1,2,1,1,2026-04-12 10:00:00.000,2026-04-12 10:05:12.000,312.5,10000
2,running,1,1,4,2,8,2,2,2026-04-12 11:00:00.000,,,500
3,failed,2,1,15,5,19,4,3,2026-04-12 12:00:00.000,2026-04-12 12:01:05.000,65.2,150
4,completed,3,1,10,10,5,6,4,2026-04-12 13:00:00.000,2026-04-12 15:30:00.000,9000.0,15000
5,completed,4,1,3,3,1,11,1,2026-04-12 14:00:00.000,2026-04-12 14:00:10.000,10.1,1000
6,completed,5,2,1,10,5,2,5,2026-04-11 09:00:00.000,2026-04-11 18:00:00.000,32400.0,50000
7,running,6,2,5,11,6,3,6,2026-04-12 08:00:00.000,,,45000
8,completed,7,3,6,9,7,10,7,2026-04-10 10:00:00.000,2026-04-10 11:45:00.000,6300.5,10000
9,completed,8,4,13,6,19,12,8,2026-04-12 09:00:00.000,2026-04-12 09:15:00.000,900.0,5000
10,failed,9,5,2,7,11,8,9,2026-04-12 10:30:00.000,2026-04-12 10:31:00.000,60.0,100
11,completed,10,6,4,10,15,9,10,2026-04-11 20:00:00.000,2026-04-11 23:30:00.000,12600.0,30000
12,completed,11,7,7,12,12,5,11,2026-04-12 11:15:00.000,2026-04-12 11:20:00.000,300.0,2000
13,running,12,8,8,14,14,13,12,2026-04-12 12:45:00.000,,,15000
14,completed,13,9,9,13,3,14,13,2026-04-12 07:00:00.000,2026-04-12 07:10:00.000,600.0,10000
15,completed,14,10,14,15,13,7,14,2026-04-11 15:00:00.000,2026-04-11 15:05:00.000,300.0,500
16,failed,15,11,16,16,1,15,15,2026-04-12 14:20:00.000,2026-04-12 14:20:10.000,10.0,50
17,completed,16,12,17,17,4,18,16,2026-04-12 08:30:00.000,2026-04-12 09:30:00.000,3600.0,25000
18,completed,17,13,18,18,18,17,17,2026-04-11 10:00:00.000,2026-04-11 12:00:00.000,7200.0,50000
19,running,18,14,19,19,17,16,18,2026-04-12 13:10:00.000,,,80000
20,completed,19,15,20,20,20,20,19,2026-04-12 09:00:00.000,2026-04-12 09:45:00.000,2700.0,5000
