"id","run_id","iteration_number","f_value","grad_norm","step_size","oracle_calls_so_far"
1,1,0,100.5,50.2,0.01,1
2,1,100,75.3,30.1,0.01,101
3,1,200,50.0,15.5,0.01,201
4,1,300,25.1,5.2,0.01,301
5,1,400,10.0,0.5,0.01,401
6,2,0,80.0,40.0,0.05,1
7,2,100,60.5,25.0,0.05,101
8,2,200,45.2,18.2,0.05,201
9,2,300,30.1,10.0,0.05,301
10,2,400,20.5,6.1,0.05,401
11,3,0,10.0,5.0,1.0,1
12,3,10,100.0,50.0,1.0,11
13,3,20,1000.0,500.0,1.0,21
14,3,30,10000.0,5000.0,1.0,31
15,3,40,100000.0,50000.0,1.0,41
16,4,0,120.0,60.0,0.001,1
17,4,100,90.0,45.0,0.001,101
18,4,200,65.0,30.0,0.001,201
19,4,300,40.0,15.0,0.001,301
20,4,400,20.0,5.0,0.001,401
21,5,0,50.0,20.0,0.1,1
22,5,10,25.0,10.0,0.1,11
23,5,20,12.5,5.0,0.1,21
24,5,30,6.2,2.5,0.1,31
25,5,40,3.1,1.2,0.1,41
26,6,0,2.3,1.5,0.01,1
27,6,1000,1.8,1.0,0.01,1001
28,6,2000,1.2,0.7,0.01,2001
29,6,3000,0.8,0.4,0.01,3001
30,6,4000,0.5,0.2,0.01,4001
31,7,0,5.0,3.0,0.005,1
32,7,100,4.2,2.5,0.005,101
33,7,200,3.5,2.0,0.005,201
34,7,300,2.9,1.6,0.005,301
35,7,400,2.4,1.2,0.005,401
36,8,0,15.0,8.0,0.02,1
37,8,100,10.0,5.0,0.02,101
38,8,200,6.5,3.2,0.02,201
39,8,300,4.0,1.8,0.02,301
40,8,400,2.5,0.9,0.02,401
41,9,0,100.0,50.0,0.01,1
42,9,100,50.0,25.0,0.01,101
43,9,200,25.0,12.5,0.01,201
44,9,300,12.5,6.2,0.01,301
45,9,400,6.2,3.1,0.01,401
46,10,0,10.0,5.0,0.5,1
47,10,10,50.0,25.0,0.5,11
48,10,20,250.0,125.0,0.5,21
49,10,30,1250.0,625.0,0.5,31
50,10,40,6250.0,3125.0,0.5,41
51,11,0,200.0,100.0,0.001,1
52,11,100,150.0,75.0,0.001,101
53,11,200,100.0,50.0,0.001,201
54,11,300,50.0,25.0,0.001,301
55,11,400,25.0,12.5,0.001,401
56,12,0,30.0,15.0,0.1,1
57,12,100,20.0,10.0,0.1,101
58,12,200,12.0,6.0,0.1,201
59,12,300,7.0,3.5,0.1,301
60,12,400,4.0,2.0,0.1,401
61,13,0,40.0,20.0,0.05,1
62,13,100,30.0,15.0,0.05,101
63,13,200,22.0,11.0,0.05,201
64,13,300,16.0,8.0,0.05,301
65,13,400,11.0,5.5,0.05,401
66,14,0,55.0,27.5,0.02,1
67,14,100,40.0,20.0,0.02,101
68,14,200,28.0,14.0,0.02,201
69,14,300,19.0,9.5,0.02,301
70,14,400,12.0,6.0,0.02,401
71,15,0,60.0,30.0,0.01,1
72,15,100,45.0,22.5,0.01,101
73,15,200,32.0,16.0,0.01,201
74,15,300,22.0,11.0,0.01,301
75,15,400,14.0,7.0,0.01,401
76,16,0,5.0,2.5,2.0,1
77,16,10,15.0,7.5,2.0,11
78,16,20,45.0,22.5,2.0,21
79,16,30,135.0,67.5,2.0,31
80,16,40,405.0,202.5,2.0,41
81,17,0,90.0,45.0,0.005,1
82,17,100,70.0,35.0,0.005,101
83,17,200,50.0,25.0,0.005,201
84,17,300,35.0,17.5,0.005,301
85,17,400,22.0,11.0,0.005,401
86,18,0,110.0,55.0,0.001,1
87,18,100,85.0,42.5,0.001,101
88,18,200,60.0,30.0,0.001,201
89,18,300,40.0,20.0,0.001,301
90,18,400,25.0,12.5,0.001,401
91,19,0,150.0,75.0,0.002,1
92,19,100,115.0,57.5,0.002,101
93,19,200,85.0,42.5,0.002,201
94,19,300,60.0,30.0,0.002,301
95,19,400,40.0,20.0,0.002,401
96,20,0,250.0,125.0,0.001,1
97,20,100,190.0,95.0,0.001,101
98,20,200,140.0,70.0,0.001,201
99,20,300,100.0,50.0,0.001,301
100,20,400,70.0,35.0,0.001,401
