"id","name","dimension","is_convex","mu_strong_convexity","lipschitz_l","optimal_value","formula_latex","dataset_id","author_id"
1,LogReg_a9a,123,true,0.01,0.25,,,1,1
2,LogReg_w8a,300,true,0.0,0.25,,,2,1
3,LinReg_HIGGS,28,true,0.0,10.5,,,7,1
4,SVM_cov,54,true,0.1,1.0,,,9,2
5,Rosen_2D,2,false,0.0,100.0,,,,3
6,Rosen_100D,100,false,0.0,1000.0,,,,4
7,Rastrigin,10,false,0.0,50.0,,,,5
8,Ackley,5,false,0.0,20.0,,,,6
9,LogReg_ijcnn,22,true,0.001,0.25,,,12,7
10,ResNet18,11173962,false,0.0,1000.0,,,3,8
11,MLP_MNIST,100500,false,0.0,50.0,,,4,9
12,Beale,2,false,0.0,15.0,,,,10
13,Booth,2,true,2.0,10.0,,,,11
14,Bukin,2,false,0.0,100.0,,,,12
15,CrossInTray,2,false,0.0,50.0,,,,13
16,Easom,2,false,0.0,10.0,,,,14
17,Eggholder,2,false,0.0,1000.0,,,,15
18,Goldstein,2,false,0.0,1000.0,,,,16
19,Himmelblau,2,false,0.0,50.0,,,,17
20,Matyas,2,true,0.26,1.0,,,,18
