"id","name","oracle_type","batch_size","noise_variance","author_id"
1,Exact,exact,,0.0,1
2,SGD_1,stochastic,1,1.0,1
3,SGD_10,stochastic,10,0.1,2
4,SGD_32,stochastic,32,0.05,3
5,SGD_64,stochastic,64,0.02,4
6,SGD_128,stochastic,128,0.01,5
7,SGD_256,stochastic,256,0.005,6
8,TopK_1,compressed,32,0.0,7
9,TopK_10,compressed,32,0.0,8
10,RandK_5,compressed,64,0.1,9
11,Gauss_High,stochastic,,5.0,10
12,Gauss_Low,stochastic,,0.1,11
13,Zero_2pt,stochastic,,0.5,12
14,Zero_1pt,stochastic,,1.0,13
15,Mini_1024,stochastic,1024,0.001,14
16,Mini_2048,stochastic,2048,0.0005,15
17,EF21,compressed,128,0.0,1
18,Diana,compressed,128,0.5,16
19,Exact_Hess,exact,,0.0,17
20,Sub_Hess,stochastic,512,0.2,18
